Year_Built,Propnum,Address,Long,Lat
1865,2025258,"3 Paling Street, BALLARAT NORTH  VIC  3350",143.8551495,-37.54035633
1865,2025574,"13 Parker Street, LAKE WENDOUREE  VIC  3350",143.8335146,-37.55752661
1865,2026047,"12 Pisgah Street, BALLARAT CENTRAL  VIC  3350",143.8492868,-37.54571694
1865,2026051,"4 Pisgah Street, BALLARAT CENTRAL  VIC  3350",143.8499689,-37.54616035
1865,2020708,"813 Lydiard Street North, SOLDIERS HILL  VIC  3350",143.8606309,-37.54396886
1865,2021299,"503 Macarthur Street, SOLDIERS HILL  VIC  3350",143.8562883,-37.55097098
1865,2021300,"505 Macarthur Street, SOLDIERS HILL  VIC  3350",143.8561597,-37.55095592
1865,2021306,"513 Macarthur Street, SOLDIERS HILL  VIC  3350",143.855426,-37.55084061
1865,2021364,"808 Macarthur Street, BALLARAT CENTRAL  VIC  3350",143.8511293,-37.54977766
1865,2021373,"704 Macarthur Street, BALLARAT CENTRAL  VIC  3350",143.8529593,-37.54998866
1865,2020153,"7 Little Raglan Street, BALLARAT CENTRAL  VIC  3350",143.8501706,-37.55810159
1865,2020178,"11 Loch Avenue, BALLARAT CENTRAL  VIC  3350",143.850621,-37.55556089
1865,2020181,"17 Loch Avenue, BALLARAT CENTRAL  VIC  3350",143.8506963,-37.55515282
1865,2020665,"419 Lydiard Street North, SOLDIERS HILL  VIC  3350",143.859162,-37.55187173
1865,2020667,"423 Lydiard Street North, SOLDIERS HILL  VIC  3350",143.8593495,-37.55163863
1865,2020669,"427 Lydiard Street North, SOLDIERS HILL  VIC  3350",143.8594052,-37.55133479
1865,2020106,"25 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8552298,-37.55182998
1865,2020107,"27 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.855235,-37.55173655
1865,2020109,"31 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8551902,-37.55149422
1865,2020114,"26 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8555133,-37.55126862
1865,2020123,"6 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8558084,-37.55257528
1865,2020152,"5 Little Raglan Street, BALLARAT CENTRAL  VIC  3350",143.8501514,-37.55822308
1865,2020096,"5 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8556533,-37.55345605
1865,2020097,"7 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8555994,-37.55325289
1865,2020101,"15 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.855383,-37.55250031
1865,2020102,"17 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8553497,-37.55237864
1865,2020103,"19 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8553175,-37.5522686
1865,2020105,"23 Little Clyde Street, SOLDIERS HILL  VIC  3350",143.8552288,-37.55196061
1865,2019671,"11A Lexton Street, LAKE WENDOUREE  VIC  3350",143.8474215,-37.54733699
1865,2019672,"13 Lexton Street, LAKE WENDOUREE  VIC  3350",143.8475268,-37.5471753
1865,2019673,"15 Lexton Street, LAKE WENDOUREE  VIC  3350",143.8475502,-37.54701543
1865,2019961,"5 Lilley Street, BALLARAT NORTH  VIC  3350",143.8541032,-37.54218826
1865,2019976,"33 Lilley Street, BALLARAT NORTH  VIC  3350",143.8545041,-37.54006826
